style,name,alpha_acid,substitutions,description
German Amber Lager,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
German Amber Lager,Select (German),4-6%,"Czech Saaz, German Spalt, Tettnanger",noble-type aroma
German Amber Lager,Sladek (Czech),5-6%,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.
German Amber Lager,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
German Amber Lager,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
German Amber Lager,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
German Amber Lager,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
German Amber Lager,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
German Amber Lager,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
German Amber Lager,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
German Amber Lager,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
German Amber Lager,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
German Amber Lager,Taurus (German),12-17%,Magnum,high-alpha hop
German Amber Lager,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
German Amber Lager,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
German Amber Lager,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
German Amber Lager,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
German Amber Lager,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
German Amber Lager,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
India Pale Ale,Admiral (U.K.),13.5-16%,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.
India Pale Ale,Ahtanum™,4-6.3%,"Amarillo, Cascade","Floral, citrus, sharp, and piney."
India Pale Ale,Amarillo®,8-9%,"Cascade, Centennial","Citrusy, flowery."
India Pale Ale,Apollo,15-19%,Zeus,A high alpha acid varietal known for its disease resistance.
India Pale Ale,Azacca® (U.S.),14-16%,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple."
India Pale Ale,Boadicea (U.K.),8-9%,,spicy
India Pale Ale,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
India Pale Ale,Bramling Cross (U.K.),5-7%,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma."
India Pale Ale,Bravo,14-17%,"Apollo, Zeus",
India Pale Ale,Brewer's Gold (U.S.),7-10%,Bullion,Bittering hop with neutral aroma character.
India Pale Ale,Brewer's Gold (German),6-7%,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy."
India Pale Ale,Bullion (U.K.),6.5-9%,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.
India Pale Ale,Calypso (U.S.),12-14%,,"Exhibits pleasant fruity notes-apple, pear, fruit punch."
India Pale Ale,Cascade (U.S.),4.5-7%,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
India Pale Ale,Cascade (New Zealand),6-8%,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character."
India Pale Ale,Cashmere (U.S.),7.7-9.1%,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits."
India Pale Ale,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
India Pale Ale,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
India Pale Ale,Challenger (U.K.),6.5-8.5%,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy."
India Pale Ale,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
India Pale Ale,Citra® (U.S.),11-13%,,Intense citrusy flavor.
India Pale Ale,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
India Pale Ale,Columbus,11-16%,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma."
India Pale Ale,Comet (U.S.),9-11%,,"Grapefruit, lemon, orange, and grassy notes."
India Pale Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
India Pale Ale,Eureka!,17-19%,Simcoe,"An offspring of Apollo and German Merkur, Eureka! has aromas and characteristics of strong herbal notes, pine, mint, grapefruit rind, tangerine, and other citrus. Great for brewers looking for varieties to use in late addition, whirlpool, or “hop stand” hop additions."
India Pale Ale,First Gold (U.K.),6.5-8.5%,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.
India Pale Ale,Fuggle (U.K.),4-5.5%,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust."
India Pale Ale,Fuggle (U.S.),4-5.5%,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity."
India Pale Ale,Galena,10-14%,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy."
India Pale Ale,Glacier (U.S.),5-9%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.
India Pale Ale,Golding (U.S.),4-6%,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy."
India Pale Ale,Hallertau Blanc (German),9-12%,,"Winey, passion fruit, grapefruit, gooseberry, pineapple character."
India Pale Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
India Pale Ale,Huell Melon (German),7-8%,,Honeydew melon and strawberry aroma.
India Pale Ale,Idaho (U.S.),12-15%,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs."
India Pale Ale,Kent Golding (U.K.),4-5.5%,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant."
India Pale Ale,Lemondrop (U.S.),5-7%,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes."
India Pale Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
India Pale Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
India Pale Ale,Mosaic™,11.5-13.5%,"Nugget, Simcoe","Both fruity and containing grassy, floral, earthy notes."
India Pale Ale,Nelson Sauvin (New Zealand),12-14%,,"Distinctive white wine ""fruitiness,"" gooseberry. Considered by some as ""extreme,"" this hop is often used in specialty craft and seasonal beers."
India Pale Ale,Newport,13-17%,"Galena, Nugget",Fairly pungent.
India Pale Ale,Northdown (U.K.),7.5-9.5%,,Fruity with some spiciness.
India Pale Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
India Pale Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
India Pale Ale,Northwest Golding,4-5%,,Known for aromatic properties.
India Pale Ale,Nugget,11-14.5%,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.
India Pale Ale,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
India Pale Ale,Orbit (New Zealand),NA,,Orbit is different each year as it uses a proprietary blend of hops specially selected out of the New Zealand “Hops with a Difference” breeding program.
India Pale Ale,Pacific Gem (New Zealand),13-15%,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.
India Pale Ale,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
India Pale Ale,Palisade®,5.5-9.5%,Perhaps Cascade,"Some ""American"" characteristics."
India Pale Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
India Pale Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
India Pale Ale,Phoenix (U.K.),9-13%,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral."
India Pale Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
India Pale Ale,Pioneer (U.K.),8-10%,U.K. Kent Golding,"A mild, typical English aroma."
India Pale Ale,Pride of Ringwood (Australia),7-10%,"Cluster, Galena","Quite pronounced, woody, earthy, herbal."
India Pale Ale,Progress (U.K.),5-7.5%,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma."
India Pale Ale,Rakau (New Zealand),9-11%,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers."
India Pale Ale,Riwaka (New Zealand),4.5-6.5%,"Czech Saaz, possible American ""C"" hops","Citrusy, grapefruit aroma hop"
India Pale Ale,Satus,12.5-14%,Galena,Known for its bittering and aromatic properties.
India Pale Ale,Simcoe®,12-14%,,A bittering and aromatic hop.
India Pale Ale,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
India Pale Ale,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
India Pale Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
India Pale Ale,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
India Pale Ale,Summer (Australia),5.6-6.4%,,"A hop variety formerly known as Summer Saaz that has a gentle floral aroma, slightly earthy. Expect apricot and stone fruit notes when used in dry hopping."
India Pale Ale,Summit™,16-18%,Simcoe,Ultra high-alpha bittering hop
India Pale Ale,Sun,12-16%,Magnum,High-alpha hop with intense character
India Pale Ale,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
India Pale Ale,Super Pride (Australia),14%,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.
India Pale Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
India Pale Ale,Tomahawk®,15-17%,Columbus,Primarily a bittering hop.
India Pale Ale,Wai-iti (New Zealand),3.40%,Saaz,"Aroma hop with a startlingly citrus aroma made up of mandarin, lemon and lime zest"
India Pale Ale,Waimea (New Zealand),16-19%,,High alpha but also lots of oils giving fresh tangelo and citrus fruit aroma with pine needles
India Pale Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
India Pale Ale,Warrior®,15-17%,Nugget,A bittering and aromatic hop.
India Pale Ale,WGV (Whitbread Golding Variety) (U.K.),5-7%,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy."
India Pale Ale,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
India Pale Ale,Yakima Cluster,6-8.5%,,Used as a kettle hop for bittering.
India Pale Ale,Zeus,13-17%,Columbus,Aromatic and pleasant.
Kölsch & Altbier,Aurora (Slovenia),6-8%,Northern Brewer,
Kölsch & Altbier,Boadicea (U.K.),8-9%,,spicy
Kölsch & Altbier,Cascade (Argentina),3-5%,Any noble hops,Different than US grown Cascades with more of a spicy flavor and lemony aroma.
Kölsch & Altbier,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Kölsch & Altbier,Hallertau Aroma (New Zealand),6.5-8.5%,Perle,A dual purpose hop which has been used to replace Perle
Kölsch & Altbier,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
Kölsch & Altbier,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
Kölsch & Altbier,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Kölsch & Altbier,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Kölsch & Altbier,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Kölsch & Altbier,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Kölsch & Altbier,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Kölsch & Altbier,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Kölsch & Altbier,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Kölsch & Altbier,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Kölsch & Altbier,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
Kölsch & Altbier,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Kölsch & Altbier,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
Kölsch & Altbier,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
Kölsch & Altbier,Pacifica (New Zealand),5-6%,Hallertau family,An aroma hop with some citrus and floral character
Kölsch & Altbier,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Kölsch & Altbier,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Kölsch & Altbier,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Kölsch & Altbier,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Kölsch & Altbier,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Kölsch & Altbier,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Kölsch & Altbier,Sladek (Czech),5-6%,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.
Kölsch & Altbier,Smaragd (German),4-6%,,Fruity and floral aromas.
Kölsch & Altbier,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
Kölsch & Altbier,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Kölsch & Altbier,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Kölsch & Altbier,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Kölsch & Altbier,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Kölsch & Altbier,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Kölsch & Altbier,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Kölsch & Altbier,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
Kölsch & Altbier,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Kölsch & Altbier,Taurus (German),12-17%,Magnum,high-alpha hop
Kölsch & Altbier,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Kölsch & Altbier,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Kölsch & Altbier,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Kölsch & Altbier,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Kölsch & Altbier,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
Kölsch & Altbier,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Light Ale,Boadicea (U.K.),8-9%,,spicy
Light Ale,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
Light Ale,Cascade (U.S.),4.5-7%,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
Light Ale,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
Light Ale,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
Light Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Light Ale,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Light Ale,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Light Ale,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Light Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Light Ale,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Light Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Light Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Light Ale,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Light Ale,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
Light Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Light Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
Light Ale,Northwest Golding,4-5%,,Known for aromatic properties.
Light Ale,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
Light Ale,Palisade®,5.5-9.5%,Perhaps Cascade,"Some ""American"" characteristics."
Light Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Light Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Light Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Light Ale,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Light Ale,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Light Ale,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Light Ale,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Light Ale,Simcoe®,12-14%,,A bittering and aromatic hop.
Light Ale,Smaragd (German),4-6%,,Fruity and floral aromas.
Light Ale,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
Light Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Light Ale,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Light Ale,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Light Ale,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Light Ale,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Light Ale,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Light Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Light Ale,Taurus (German),12-17%,Magnum,high-alpha hop
Light Ale,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Light Ale,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Light Ale,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Light Ale,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Light Ale,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
Mead,Boadicea (U.K.),8-9%,,spicy
Mead,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Mead,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Porter,Admiral (U.K.),13.5-16%,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.
Porter,Ahtanum™,4-6.3%,"Amarillo, Cascade","Floral, citrus, sharp, and piney."
Porter,Amarillo®,8-9%,"Cascade, Centennial","Citrusy, flowery."
Porter,Boadicea (U.K.),8-9%,,spicy
Porter,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
Porter,Bramling Cross (U.K.),5-7%,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma."
Porter,Brewer's Gold (U.S.),7-10%,Bullion,Bittering hop with neutral aroma character.
Porter,Brewer's Gold (German),6-7%,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy."
Porter,Bullion (U.K.),6.5-9%,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.
Porter,Cascade (U.S.),4.5-7%,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
Porter,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
Porter,Challenger (U.K.),6.5-8.5%,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy."
Porter,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
Porter,Citra® (U.S.),11-13%,,Intense citrusy flavor.
Porter,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
Porter,Columbus,11-16%,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma."
Porter,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Porter,First Gold (U.K.),6.5-8.5%,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.
Porter,Fuggle (U.K.),4-5.5%,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust."
Porter,Fuggle (U.S.),4-5.5%,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity."
Porter,Galena,10-14%,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy."
Porter,Glacier (U.S.),5-9%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.
Porter,Golding (U.S.),4-6%,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy."
Porter,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Porter,Kent Golding (U.K.),4-5.5%,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant."
Porter,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Porter,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Porter,Nelson Sauvin (New Zealand),12-14%,,"Distinctive white wine ""fruitiness,"" gooseberry. Considered by some as ""extreme,"" this hop is often used in specialty craft and seasonal beers."
Porter,Newport,13-17%,"Galena, Nugget",Fairly pungent.
Porter,Northdown (U.K.),7.5-9.5%,,Fruity with some spiciness.
Porter,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Porter,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
Porter,Northwest Golding,4-5%,,Known for aromatic properties.
Porter,Nugget,11-14.5%,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.
Porter,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
Porter,Pacific Gem (New Zealand),13-15%,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.
Porter,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
Porter,Palisade®,5.5-9.5%,Perhaps Cascade,"Some ""American"" characteristics."
Porter,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
Porter,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Porter,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Porter,Phoenix (U.K.),9-13%,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral."
Porter,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Porter,Pioneer (U.K.),8-10%,U.K. Kent Golding,"A mild, typical English aroma."
Porter,Pride of Ringwood (Australia),7-10%,"Cluster, Galena","Quite pronounced, woody, earthy, herbal."
Porter,Progress (U.K.),5-7.5%,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma."
Porter,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Porter,Satus,12.5-14%,Galena,Known for its bittering and aromatic properties.
Porter,Simcoe®,12-14%,,A bittering and aromatic hop.
Porter,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
Porter,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Porter,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
Porter,Summit™,16-18%,Simcoe,Ultra high-alpha bittering hop
Porter,Sun,12-16%,Magnum,High-alpha hop with intense character
Porter,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
